Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-07,GUAVIO,0,P1D
2013-01-07,MIEL1,0,P1D
2013-01-07,MIRAFLOR,0,P1D
2013-01-07,URRA1,0,P1D
2013-01-06,SALVAJIN,0,P1D
2013-01-06,URRA1,0,P1D
2013-01-06,AGREGADO_BOGOTA,0,P1D
2013-01-06,MIRAFLOR,0,P1D
2013-01-06,ESMERALD,0,P1D
2013-01-06,RIOGRAN2,0,P1D
2013-01-06,PUNCHINA,0,P1D
2013-01-06,TRONERAS,0,P1D
2013-01-06,PORCE3,0,P1D
2013-01-06,GUAVIO,0,P1D
2013-01-06,PLAYAS,0,P1D
2013-01-06,MUNA,0,P1D
2013-01-06,CHUZA,0,P1D
2013-01-06,FLORIDA2,0,P1D
2013-01-06,AGREGADO_SIN,0,P1D
2013-01-06,CALIMA1,0,P1D
2013-01-06,ALTOANCH,0,P1D
2013-01-06,PENOL,0,P1D
2013-01-06,SANLOREN,0,P1D
2013-01-06,MIEL1,0,P1D
2013-01-06,PRADO,0,P1D
2013-01-05,CHUZA,0,P1D
2013-01-05,MIRAFLOR,0,P1D
2013-01-05,PRADO,0,P1D
2013-01-05,ESMERALD,0,P1D
2013-01-05,GUAVIO,0,P1D
2013-01-05,PORCE3,0,P1D
2013-01-05,FLORIDA2,0,P1D
2013-01-05,AGREGADO_SIN,0,P1D
2013-01-05,MIEL1,0,P1D
2013-01-05,PUNCHINA,0,P1D
2013-01-05,SANLOREN,0,P1D
2013-01-05,URRA1,0,P1D
2013-01-05,AGREGADO_BOGOTA,0,P1D
2013-01-05,PLAYAS,0,P1D
2013-01-05,MUNA,0,P1D
2013-01-05,SALVAJIN,0,P1D
2013-01-05,TRONERAS,0,P1D
2013-01-05,CALIMA1,0,P1D
2013-01-05,RIOGRAN2,0,P1D
2013-01-05,ALTOANCH,0,P1D
2013-01-05,PENOL,0,P1D
2013-01-04,ESMERALD,0,P1D
2013-01-04,URRA1,0,P1D
2013-01-04,PUNCHINA,0,P1D
2013-01-04,RIOGRAN2,0,P1D
2013-01-04,GUAVIO,0,P1D
2013-01-04,PRADO,0,P1D
2013-01-04,CHUZA,0,P1D
2013-01-04,SANLOREN,0,P1D
2013-01-04,PORCE3,0,P1D
2013-01-04,MIEL1,0,P1D
2013-01-04,CALIMA1,0,P1D
2013-01-04,AGREGADO_SIN,0,P1D
2013-01-04,ALTOANCH,0,P1D
2013-01-04,SALVAJIN,0,P1D
2013-01-04,AGREGADO_BOGOTA,0,P1D
2013-01-04,TRONERAS,0,P1D
2013-01-04,FLORIDA2,0,P1D
2013-01-04,PLAYAS,0,P1D
2013-01-04,MIRAFLOR,0,P1D
2013-01-04,PENOL,0,P1D
2013-01-04,MUNA,0,P1D
2013-01-03,SALVAJIN,0,P1D
2013-01-03,PUNCHINA,0,P1D
2013-01-03,MUNA,0,P1D
2013-01-03,PORCE3,0,P1D
2013-01-03,AGREGADO_SIN,107856.96,P1D
2013-01-03,AGREGADO_BOGOTA,0,P1D
2013-01-03,CALIMA1,0,P1D
2013-01-03,SANLOREN,0,P1D
2013-01-03,PRADO,0,P1D
2013-01-03,FLORIDA2,0,P1D
2013-01-03,PLAYAS,107856.96,P1D
2013-01-03,TRONERAS,0,P1D
2013-01-03,ALTOANCH,0,P1D
2013-01-03,RIOGRAN2,0,P1D
2013-01-03,MIEL1,0,P1D
2013-01-03,URRA1,0,P1D
2013-01-03,PENOL,0,P1D
2013-01-03,ESMERALD,0,P1D
2013-01-03,CHUZA,0,P1D
2013-01-03,GUAVIO,0,P1D
2013-01-03,MIRAFLOR,0,P1D
2013-01-02,ALTOANCH,0,P1D
2013-01-02,ESMERALD,0,P1D
2013-01-02,PRADO,0,P1D
2013-01-02,PLAYAS,139108.8,P1D
2013-01-02,TRONERAS,0,P1D
2013-01-02,PUNCHINA,0,P1D
2013-01-02,MUNA,0,P1D
2013-01-02,AGREGADO_BOGOTA,0,P1D
2013-01-02,PENOL,0,P1D
2013-01-02,SALVAJIN,0,P1D
2013-01-02,CHUZA,0,P1D
2013-01-02,AGREGADO_SIN,139108.8,P1D
2013-01-02,GUAVIO,0,P1D
2013-01-02,CALIMA1,0,P1D
2013-01-02,RIOGRAN2,0,P1D
2013-01-02,MIRAFLOR,0,P1D
2013-01-02,MIEL1,0,P1D
2013-01-02,SANLOREN,0,P1D
2013-01-02,FLORIDA2,0,P1D
2013-01-02,URRA1,0,P1D
2013-01-02,PORCE3,0,P1D
2013-01-01,SANLOREN,0,P1D
2013-01-01,MIRAFLOR,0,P1D
2013-01-01,CHUZA,0,P1D
2013-01-01,MIEL1,0,P1D
2013-01-01,GUAVIO,0,P1D
2013-01-01,TRONERAS,0,P1D
2013-01-01,ESMERALD,0,P1D
2013-01-01,PLAYAS,0,P1D
2013-01-01,URRA1,0,P1D
2013-01-01,SALVAJIN,0,P1D
2013-01-01,CALIMA1,0,P1D
2013-01-01,RIOGRAN2,0,P1D
2013-01-01,PENOL,0,P1D
2013-01-01,AGREGADO_BOGOTA,0,P1D
2013-01-01,PORCE3,0,P1D
2013-01-01,MUNA,0,P1D
2013-01-01,PRADO,0,P1D
2013-01-01,FLORIDA2,0,P1D
2013-01-01,PUNCHINA,0,P1D
2013-01-01,ALTOANCH,0,P1D
